Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.06705220655304E-18,0.0326642091616594,0.000122090101760878,0,0,0,0.409778207134298,0.000328708745423522,3.34910128683046E-20,-1.77759437422049E-21,0.00072201047906236,-3.67008610700569E-07,0.000878189446080419,0,0,0,0,0,0,package://Sim-Circular Cartpole L1.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sim-Circular Cartpole L1.SLDASM/meshes/base_link.STL,,Sim-Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fixed_pole,-3.15391603256759E-17,0.08,0.00949999999999999,0,0,0,0.132256413665709,0.000435696040674517,-6.89273060828187E-21,-3.73011874390342E-22,2.27781932139765E-05,-2.6169466804403E-06,0.000453100268484959,0,0,0,0,0,0,package://Sim-Circular Cartpole L1.SLDASM/meshes/fixed_pole.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Sim-Circular Cartpole L1.SLDASM/meshes/fixed_pole.STL,,Sim-Fixed Pole-1,Origin_base_to_fixed,Axis_base_to_fixed,base_to_fixed,continuous,0,-0.027,0.04,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
flex_1_pole,-1.38777878078145E-17,0.0800000000000002,0.0095,0,0,0,0.132256413665709,0.000435696040674517,-4.94455482959698E-21,-2.5410988417629E-22,2.27781932139765E-05,-2.6169466804403E-06,0.000453100268484959,0,0,0,0,0,0,package://Sim-Circular Cartpole L1.SLDASM/meshes/flex_1_pole.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://Sim-Circular Cartpole L1.SLDASM/meshes/flex_1_pole.STL,,Sim-Flex Pole-1,Origin_fixed_to_flex_1,Axis_fixed_to_flex_1,fixed_to_flex_1,continuous,0,0.16,0.019,0,0,0,fixed_pole,0,0,1,,,,,,,,,,,,
